,id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
375,world/2022/apr/16/russians-who-fled-at-outbreak-of-ukraine-war-reluctantly-go-home,article,world,World news,2022-04-16T16:16:16Z,Russians who fled at outbreak of Ukraine war reluctantly go home ,https://www.theguardian.com/world/2022/apr/16/russians-who-fled-at-outbreak-of-ukraine-war-reluctantly-go-home,https://content.guardianapis.com/world/2022/apr/16/russians-who-fled-at-outbreak-of-ukraine-war-reluctantly-go-home,False,pillar/news,News
376,books/2022/oct/10/why-nostradamus-predictions-are-still-winning-converts,article,books,Books,2022-10-10T09:00:22Z,"War in Ukraine, death of the Queen, Elon Musk … why are Nostradamus’s ‘predictions’ still winning converts?",https://www.theguardian.com/books/2022/oct/10/why-nostradamus-predictions-are-still-winning-converts,https://content.guardianapis.com/books/2022/oct/10/why-nostradamus-predictions-are-still-winning-converts,False,pillar/arts,Arts
377,world/2022/sep/13/balakliia-residents-take-stock-after-ukraine-recaptures-frontline-town,article,world,World news,2022-09-13T19:14:44Z,Balakliia residents take stock after Ukraine recaptures frontline town,https://www.theguardian.com/world/2022/sep/13/balakliia-residents-take-stock-after-ukraine-recaptures-frontline-town,https://content.guardianapis.com/world/2022/sep/13/balakliia-residents-take-stock-after-ukraine-recaptures-frontline-town,False,pillar/news,News
378,business/2022/may/11/ukraine-russia-war-money-transfers-surge-world-bank,article,world,World news,2022-05-11T14:51:46Z,War leads to surge in money transfers to Ukraine,https://www.theguardian.com/business/2022/may/11/ukraine-russia-war-money-transfers-surge-world-bank,https://content.guardianapis.com/business/2022/may/11/ukraine-russia-war-money-transfers-surge-world-bank,False,pillar/news,News
379,world/live/2022/oct/09/russia-ukraine-war-live-news-at-least-17-killed-in-attack-on-housing-in-zaporizhzhia,liveblog,world,World news,2022-10-09T20:11:17Z,Russia-Ukraine war live: Putin calls Crimea bridge attack an ‘act of terrorism’ — as it happened,https://www.theguardian.com/world/live/2022/oct/09/russia-ukraine-war-live-news-at-least-17-killed-in-attack-on-housing-in-zaporizhzhia,https://content.guardianapis.com/world/live/2022/oct/09/russia-ukraine-war-live-news-at-least-17-killed-in-attack-on-housing-in-zaporizhzhia,False,pillar/news,News
380,world/2022/nov/01/could-ukraines-drone-attack-on-russian-ships-herald-a-new-type-of-warfare,article,world,World news,2022-11-01T17:22:03Z,Could Ukraine’s drone attack on Russian ships herald a new type of warfare?,https://www.theguardian.com/world/2022/nov/01/could-ukraines-drone-attack-on-russian-ships-herald-a-new-type-of-warfare,https://content.guardianapis.com/world/2022/nov/01/could-ukraines-drone-attack-on-russian-ships-herald-a-new-type-of-warfare,False,pillar/news,News
381,world/2022/aug/16/russia-ukraine-war-latest-what-we-know-on-day-174-of-the-invasion,article,world,World news,2022-08-16T18:11:14Z,Russia-Ukraine war latest: what we know on day 174 of the invasion,https://www.theguardian.com/world/2022/aug/16/russia-ukraine-war-latest-what-we-know-on-day-174-of-the-invasion,https://content.guardianapis.com/world/2022/aug/16/russia-ukraine-war-latest-what-we-know-on-day-174-of-the-invasion,False,pillar/news,News
382,books/2022/jun/03/lucky-breaks-by-yevgenia-belorusets-review-war-stories-from-ukraine,article,books,Books,2022-06-03T06:30:00Z,Lucky Breaks by Yevgenia Belorusets review – war stories from Ukraine,https://www.theguardian.com/books/2022/jun/03/lucky-breaks-by-yevgenia-belorusets-review-war-stories-from-ukraine,https://content.guardianapis.com/books/2022/jun/03/lucky-breaks-by-yevgenia-belorusets-review-war-stories-from-ukraine,False,pillar/arts,Arts
383,world/2022/sep/13/balakliia-residents-take-stock-after-ukraine-recaptures-frontline-town,article,world,World news,2022-09-13T19:14:44Z,Balakliia residents take stock after Ukraine recaptures frontline town,https://www.theguardian.com/world/2022/sep/13/balakliia-residents-take-stock-after-ukraine-recaptures-frontline-town,https://content.guardianapis.com/world/2022/sep/13/balakliia-residents-take-stock-after-ukraine-recaptures-frontline-town,False,pillar/news,News
384,us-news/2022/feb/24/first-thing-putin-declares-war-russia-invades-ukraine,article,us-news,US news,2022-02-24T12:53:39Z,First Thing: Putin unleashes Russian invasion of Ukraine,https://www.theguardian.com/us-news/2022/feb/24/first-thing-putin-declares-war-russia-invades-ukraine,https://content.guardianapis.com/us-news/2022/feb/24/first-thing-putin-declares-war-russia-invades-ukraine,False,pillar/news,News
